segment_name,sentiment_group,avg_daily_pnl,median_daily_pnl,avg_win_rate,avg_trade_count,segment_type
Large Trade Size,Fear,7620.020653528024,212.08102,32.87279926739686,91.54867256637168,Trade Size
Large Trade Size,Greed,5647.123389393657,34.68818800000001,29.502417870128205,45.201492537313435,Trade Size
Large Trade Size,Neutral,6302.6805143095235,174.737284,32.18165782310548,69.6547619047619,Trade Size
Small Trade Size,Fear,3354.94165983592,100.22198900000001,37.837507220922866,115.74722838137473,Trade Size
Small Trade Size,Greed,2881.571233399686,414.7479525,41.96439740550874,103.55329153605015,Trade Size
Small Trade Size,Neutral,1125.3382170480768,167.551743,38.25505564715085,124.92307692307692,Trade Size
Frequent Trader,Fear,5968.410191886956,195.60777199999998,37.25959058565299,126.11304347826086,Frequency
Frequent Trader,Greed,3846.861069991936,444.901574,37.5650392812045,92.74769585253456,Frequency
Frequent Trader,Neutral,3978.0722384610167,278.142839,37.831087203477885,115.0406779661017,Frequency
Infrequent Trader,Fear,3090.3713013813954,0.0,31.555023821085033,49.86976744186047,Frequency
Infrequent Trader,Greed,4987.663970166666,0.0,32.614795513130034,31.99346405228758,Frequency
Infrequent Trader,Neutral,1473.9427802962964,0.0,27.20246128226076,46.28395061728395,Frequency
Consistent Winner,Fear,6526.009974255102,236.0983475,39.023351231981465,135.58979591836734,Consistency
Consistent Winner,Greed,2992.824846566265,510.0,39.737533068932095,93.28380187416332,Consistency
Consistent Winner,Neutral,3208.6436339711936,336.64107,42.25442064441936,123.4320987654321,Consistency
Inconsistent Trader,Fear,2995.06934249,0.0,30.29050868204277,55.99333333333333,Consistency
Inconsistent Trader,Greed,6158.455323744731,0.0,30.216965622039858,48.27166276346604,Consistency
Inconsistent Trader,Neutral,3858.7990413157895,0.0,23.2762847540992,57.83458646616541,Consistency
